"","id","host_id","host_name","host_since","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","property_type","price","security_deposit","review_scores_rating","place","avg_rating","experience_rating","response_rating","acceptance_rating","risk","risk_score","host_rating"
"933",2043584,10479270,"Nina",2013-12-07,"within an hour","100","100","t","Loft",86,200,97,"Ghent",97,0.89,1,1,2.33,0.95,9.25
"934",2082353,9075008,"Wouter",2013-09-26,"within an hour","100","86","t","Townhouse",180,250,97,"Ghent",97,0.97,1,0.86,1.39,0.97,8.83
"935",2125334,10840696,"Frederik",2013-12-27,"within an hour","100","97","t","Apartment",59,0,97,"Ghent",97,0.86,1,0.97,0,1,9.24
"936",2600085,13314551,"Kris &  Marie",2014-03-19,"within an hour","100","89","t","Apartment",70,100,98,"Ghent",96,0.76,1,0.89,1.43,0.97,8.74
"937",3406443,17180388,"Gerda",2014-06-24,"within an hour","100","78","t","Loft",175,0,95,"Ghent",96,0.64,1,0.78,0,1,8.26
"939",4104274,21290432,"Sofie",2014-09-13,"within an hour","100","94","t","Apartment",55,NA,94,"Ghent",94,0.54,1,0.94,0,1,8.8
"940",4275275,22195789,"Thomas",2014-10-06,"within an hour","100","100","t","Apartment",88,0,99,"Ghent",97,0.52,1,1,0,1,9.02
"941",4337214,6854813,"Ann & Peter",2013-06-11,"within an hour","100","96","t","Loft",70,0,97,"Ghent",97,1.1,1,0.96,0,1,9.44
"942",4591763,23801608,"Hans",2014-11-16,"within an hour","100","98","t","Houseboat",80,NA,95,"Ghent",95,0.47,1,0.98,0,1,8.89
"943",5335257,27595833,"Nathalie",2015-02-11,"within an hour","100","100","t","Apartment",230,500,99,"Ghent",99,0.36,1,1,2.17,0.96,8.73
"944",5498400,310389,"Dirk",2010-12-05,"within an hour","100","100","t","Apartment",112,500,97,"Ghent",97,2.23,1,1,4.46,0.91,10.46
"945",5694820,29523955,"Anne-Marie",2015-03-17,"within an hour","100","100","t","Apartment",220,300,97,"Ghent",97,0.32,1,1,1.36,0.97,8.74
"946",5857149,11350258,"Giovanna",2014-01-16,"within an hour","100","92","t","Townhouse",50,0,94,"Ghent",94,0.84,1,0.92,0,1,9.02
"947",5908287,29314978,"Martine",2015-03-14,"within an hour","100","96","t","Loft",90,500,98,"Ghent",98,0.32,1,0.96,5.56,0.89,8.33
"948",5952865,30545870,"Helena",2015-04-03,"within an hour","100","100","t","Apartment",62,100,95,"Ghent",95,0.3,1,1,1.61,0.97,8.7
"949",6054825,757037,"Wim",2011-06-29,"within an hour","100","100","t","Apartment",59,250,98,"Ghent",98,1.97,1,1,4.24,0.92,10.22
"950",6441548,33631603,"Peter",2015-05-18,"within an hour","100","100","t","Townhouse",99,250,97,"Ghent",97,0.24,1,1,2.53,0.95,8.59
"951",6722473,26787873,"Greet",2015-01-27,"within an hour","100","100","t","House",44,0,97,"Ghent",97,0.38,1,1,0,1,8.88
"952",6951050,15300260,"Aron, Dave & Myriam",2014-05-09,"within an hour","100","99","t","Apartment",75,350,95,"Ghent",95,0.7,1,0.99,4.67,0.91,8.88
"953",7272565,7382978,"Linze",2013-07-09,"within an hour","100","100","t","House",110,NA,93,"Ghent",93,1.07,1,1,0,1,9.57
"954",7556348,3362271,"Céline",2012-08-24,"within an hour","100","77","t","House",57,NA,94,"Ghent",94,1.46,1,0.77,0,1,9.04
"955",7568806,39681783,"Designer'S Republic",2015-07-27,"within an hour","100","98","t","Apartment",115,0,98,"Ghent",98,0.16,1,0.98,0,1,8.58
"956",7683600,40352209,"Filip",2015-08-03,"within an hour","100","100","t","Apartment",89,250,97,"Ghent",96,0.15,1,1,2.81,0.94,8.48
"957",8347942,39837750,"Sophie",2015-07-28,"within an hour","94","100","t","Loft",80,150,98,"Ghent",98,0.16,0.94,1,1.88,0.96,8.45
"958",8366610,20327558,"Dirk",2014-08-20,"within an hour","100","100","t","Loft",119,399,95,"Ghent",95,0.57,1,1,3.35,0.93,8.87
"959",10135475,2314221,"Danielle",2012-05-07,"within an hour","100","94","t","Apartment",41,100,95,"Ghent",95,1.59,1,0.94,2.44,0.95,9.71
"960",10201604,1792071,"Sabine",2012-02-22,"within an hour","100","100","t","Townhouse",99,0,99,"Ghent",99,1.68,1,1,0,1,10.18
"961",10325779,53135103,"Akira & Aris",2016-01-03,"within an hour","100","100","t","Apartment",75,NA,98,"Ghent",98,-0.04,1,1,0,1,8.46
"962",11153623,1209385,"Kristof",2011-09-26,"within an hour","100","100","t","Apartment",46,0,95,"Ghent",95,1.87,1,1,0,1,10.37
