"","reviews_per_month","availability_30","price","id","place"
"2812",0.18,21,75,2538278,"Brussels"
"2813",8.24,0,48,2548802,"Brussels"
"2814",0.36,30,40,2567093,"Brussels"
"2815",0.13,0,23,2584960,"Brussels"
"2816",0.09,10,18,2585315,"Brussels"
"2817",0.2,0,70,2606214,"Brussels"
"2818",1.58,29,29,2606678,"Brussels"
"2819",0.28,30,69,2624534,"Brussels"
"2820",0.07,0,60,2644007,"Brussels"
"2821",0.85,30,59,2661950,"Brussels"
"2822",4.55,26,20,2676232,"Brussels"
"2823",0.09,0,35,2680299,"Brussels"
"2824",0.35,0,34,2682841,"Brussels"
"2825",2.33,0,79,2688998,"Brussels"
"2826",0.71,30,45,2701606,"Brussels"
"2827",0.06,0,65,2705595,"Brussels"
"2828",2.54,30,199,2706130,"Brussels"
"2829",0.09,20,40,2711532,"Brussels"
"2830",0.63,27,50,2718496,"Brussels"
"2831",0.89,0,38,2742756,"Brussels"
"2832",1.36,18,49,2749370,"Brussels"
"2833",1.09,16,105,2750939,"Brussels"
"2834",0.6,23,68,2752854,"Brussels"
"2835",0.28,29,47,2777449,"Brussels"
"2836",2.85,6,49,2787957,"Brussels"
"2837",0.06,0,120,2823613,"Brussels"
"2838",0.02,0,100,2835352,"Brussels"
"2839",0.14,0,95,2845505,"Brussels"
"2840",6.45,30,40,2853699,"Brussels"
"2841",0.3,0,25,2893486,"Brussels"
"2842",3.44,30,94,2920051,"Brussels"
"2843",0.68,0,85,2930222,"Brussels"
"2844",0.09,0,100,2931514,"Brussels"
"2845",0.02,0,54,2968888,"Brussels"
"2846",0.89,0,60,2971539,"Brussels"
"2847",1.43,28,82,2973380,"Brussels"
"2848",0.13,0,69,3003488,"Brussels"
"2849",0.92,18,55,3008655,"Brussels"
"2850",3.4,30,42,3022711,"Brussels"
"2851",0.04,0,89,3024069,"Brussels"
"2852",0.02,0,68,3035003,"Brussels"
"2853",0.25,28,45,3038950,"Brussels"
"2854",0.66,0,59,3056893,"Brussels"
"2855",0.51,0,30,3074245,"Brussels"
"2856",0.19,0,37,3078590,"Brussels"
"2857",NA,0,85,3109163,"Brussels"
"2858",NA,0,70,3109751,"Brussels"
"2859",0.66,28,130,3120421,"Brussels"
"2860",1.38,21,70,3122448,"Brussels"
"2861",0.21,0,65,3143543,"Brussels"
"2862",0.22,30,45,3163186,"Brussels"
"2863",1.71,0,65,3177819,"Brussels"
"2864",0.05,0,60,3182319,"Brussels"
"2865",0.97,0,74,3188483,"Brussels"
"2866",7.94,27,59,3206427,"Brussels"
"2867",0.07,0,30,3227791,"Brussels"
"2868",2.95,12,88,3249413,"Brussels"
"2869",0.04,0,45,3254364,"Brussels"
"2870",0.02,0,57,3260179,"Brussels"
"2871",0.41,26,128,3268516,"Brussels"
"2872",0.52,0,77,3270654,"Brussels"
"2873",0.25,0,90,3274198,"Brussels"
"2874",1.06,30,75,3281967,"Brussels"
"2875",0.01,0,30,3285304,"Brussels"
"2876",0.2,25,63,3305948,"Brussels"
"2877",NA,0,80,3307414,"Brussels"
"2878",0.23,15,89,3307501,"Brussels"
"2879",0.08,0,73,3307611,"Brussels"
"2880",0.01,0,55,3309344,"Brussels"
"2881",0.5,0,45,3321016,"Brussels"
"2882",2.4,0,62,3328658,"Brussels"
"2883",0.53,0,40,3337957,"Brussels"
"2884",1.35,0,50,3345711,"Brussels"
"2885",0.38,30,90,3359403,"Brussels"
"2886",5.85,0,79,3361803,"Brussels"
"2887",0.76,28,50,3364421,"Brussels"
"2888",0.42,0,47,3365060,"Brussels"
"2889",0.1,0,65,3369966,"Brussels"
"2890",0.01,0,79,3374600,"Brussels"
"2891",0.06,0,90,3380953,"Brussels"
"2892",0.57,28,129,3384631,"Brussels"
"2893",0.02,0,60,3386175,"Brussels"
"2894",0.42,19,48,3387942,"Brussels"
"2895",0.2,0,32,3392498,"Brussels"
"2896",2.65,26,320,3396082,"Brussels"
"2897",NA,0,30,3396399,"Brussels"
"2898",0.19,0,22,3397542,"Brussels"
"2899",0.51,0,40,3402122,"Brussels"
"2900",0.51,0,95,3403812,"Brussels"
"2901",NA,0,80,3408212,"Brussels"
"2902",0.34,0,24,3414079,"Brussels"
"2903",0.07,0,85,3436393,"Brussels"
"2904",0.27,0,32,3444992,"Brussels"
"2905",0.18,0,12,3448287,"Brussels"
"2906",0.16,0,40,3453568,"Brussels"
"2907",5.88,30,53,3460431,"Brussels"
"2908",NA,0,15,3461968,"Brussels"
"2909",0.14,30,65,3469701,"Brussels"
"2910",NA,0,114,3473514,"Brussels"
"2911",1.95,26,400,3475023,"Brussels"
